termoOriginal,classe,termo,termoBase,descricao,exemplo,domínio,planilhaEN,observacao
Principais Ameaças,MMA_assessment,Principais Ameaças,"iucn:threats:Threats.ThreatsSubfield.StressesSubfield.stressdesc, iucn:threats:Threats.ThreatsSubfield.ThreatsName, cncfws:threats:threat, cncfws:threats:severity, cncfws:threats:incidence, cncfws:threats:ended, cncfws:threats:reversible, cncfws:threats:references, cncfws:threats:details",,,,"Dados_BI_especiesameacadas_20.02.2020_paraequipe, Estrategia Nacional - niveis de proteção",Os termos equivalentes listados possuem domínios específicos que devem ser considerados para eventual mapeamento.
Presença em Áreas Protegidas,MMA_assessment,Presença em Áreas Protegidas,"dwc:MeasurementOrFact:MeasurementOrFact, dwc:MeasurementOrFact:measurementValue",Presença ou ausência em áreas protegidas,,Sim; Não,"Dados_BI_especiesameacadas_20.02.2020_paraequipe, Estrategia Nacional - niveis de proteção","Catálogo de UCs pode ser uma fonte de dados importante para flora. Os termos equivalentes dwc:MeasurementOrFact e dwc:measurementValue devem ser usados concomitantemente, o primeiro para descrever o campo e o segundo para o valor. "
Plano de Ação Nacional para Conservação (PAN),MMA_assessment,Plano de Ação Nacional para Conservação (PAN),"cncfws:actions:action, cncfws:actions:situation, cncfws:actions:references, cncfws:actions:details, iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.ConservationActionsLookup, iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.ConservationActionsName, iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.note",,,,"Dados_BI_especiesameacadas_20.02.2020_paraequipe, Estrategia Nacional - niveis de proteção",Os termos equivalentes listados possuem domínios específicos que devem ser considerados para eventual mapeamento.
Ordenamento Pesqueiro ,MMA_assessment,Ordenamento Pesqueiro ,"iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.ConservationActionsLookup, iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.ConservationActionsName, iucn:conservationneeded:ConservationActions.ConservationActionsSubfield.note",,,,"Dados_BI_especiesameacadas_20.02.2020_paraequipe, Estrategia Nacional - niveis de proteção",Os termos equivalentes listados possuem domínios específicos que devem ser considerados para eventual mapeamento.
Nível de Proteção na Estratégia Nacional / NÍVEL PÓS-OFICINA,MMA_assessment,Nível de Proteção na Estratégia Nacional / NÍVEL PÓS-OFICINA,,"Os Níveis de Proteção variam de 0 a 5, em que 0 demonstra ausência de medidas de conservação e 5 demonstra que a espécie está suficientemente coberta por medidas de conservação",,,"Dados_BI_especiesameacadas_20.02.2020_paraequipe, Estrategia Nacional - niveis de proteção, Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi",
Fonte da Imagem,MMA_resources,Fonte da Imagem,"dwc:Record-level:type, dwc:Record-level:license, dwc:Record-level:ownerInstitutionCode",,,,Dados_BI_especiesameacadas_20.02.2020_paraequipe,"Recomenda-se o uso dos três campos em dwc Para definição do tipo de registro (no caso imagens), licença de uso e instituição fonte da imagem."
Créditos,MMA_resources,Créditos,dwc:Record-level:rightsHolder,Autor da imagem,,,Dados_BI_especiesameacadas_20.02.2020_paraequipe,
Medida: Área distribuição UC+TI+AM,MMA_assessment,Medida: Área distribuição UC+TI+AM,,"Esta medida se refere ao grau de proteção de habitat da espécie em Unidades de Conservação, Terras Indígenas e Áreas Militares. Os cálculos utilizados nesta medida consideram o grau de efetividade de cada área protegida calculado pelo SAMGe/ICMBio e o grau de sobreposição da área de ocorrência da espécie com estas áreas protegidas. Detalhes do cálculo encontram-se no documento intitulado ""Descricao_metodologia_analiseefetividade_nov18"".",,0; 1; 2; 3,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Peso da Medida: Área distribuição UC+TI+AM,MMA_assessment,Peso da Medida: Área distribuição UC+TI+AM,,Peso proporcional ao potencial de contribuição da medida para melhorar o status de conservação da espécie,,"2,5",Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
Medida: Caverna,MMA_assessment,Medida: Caverna,,"As análises espaciais de ocorrência das espécies em cavernas foram descritas no item anterior. A lista das espécies ameaçadas que ocorrem em cavernas foi fornecida pelo CECAV/ICMBio.
A sugestão da reunião de especialistas foi considerar com um peso maior as cavernas classificadas como de máxima relevância. Entretanto, a ocorrência de espécies ameaçadas é um dos critérios que classifica a caverna como de máxima relevância. Portanto, todas as cavernas deste exercício são necessariamente de máxima relevância.
Devido à dificuldade de determinar a extensão das cavernas, não foi possível calcular a área de distribuição das espécies que está coberta por cavernas, e sim presença e ausência. Dessa forma, foi atribuída Classe 2 nesse critério para todas as espécies analisadas que apresentaram sobreposição com cavernas.",,0; 2,Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi,
